"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"316",3e+05,0.8,0.01,-1,0.580949456298681,-0.000315449482162218,-0.645396508707692,0.00760872668805686,2.44915519618841e-05,0.0179165485481502,"rep"
"416",30000,0.3,0.001,-1,0.999027668020333,-0.0224330520044097,-0.928024062537317,0.00138497458624003,0.00116010357117926,0.005822665718286,"rep"
"516",3e+05,0.3,0.001,-1,0.864911298746389,-0.00156476784632636,-0.904315799028978,0.00940186876983216,6.59024028613299e-05,0.0122362901200656,"rep"
"616",30000,0.8,0.001,-1,0.802669316423088,-0.0140653302827892,-0.889632321489983,0.0120594497085913,0.00110850013655389,0.00859070709718443,"rep"
"716",3e+05,0.8,0.001,-1,0.700100248477973,-0.000877497189786076,-0.832266736606641,0.0114182714336829,5.39509262021414e-05,0.0127229094058069,"rep"
"816",30000,0.3,0.01,0,0.999809885931559,-0.0226890651205424,-0.929871972627345,0.000601193471514889,0.00127776683365103,0.00786598676572611,"rep"
"916",3e+05,0.3,0.01,0,0.985611765738508,-0.00199271580868133,-0.927454373945148,0.00456371191379956,0.000142428871346065,0.00723116243685194,"rep"
"1016",30000,0.8,0.01,0,0.939091573009361,-0.0165897614718324,-0.91539596697234,0.00933555102514273,0.00100492709986953,0.00911624338530183,"rep"
"1116",3e+05,0.8,0.01,0,0.58141667141253,-0.000329352703776566,-0.732048030417032,0.00652711670372839,1.65191767523564e-05,0.0119734903783976,"rep"
"1216",30000,0.3,0.001,0,0.997258015593374,-0.0224772217364205,-0.929893290950257,0.00212467870586299,0.00140024682497096,0.00648322233781762,"rep"
"1316",3e+05,0.3,0.001,0,0.869722948120793,-0.00161300582447972,-0.915804278125521,0.00915273756856198,7.55888295570819e-05,0.00865957700130546,"rep"
"1416",30000,0.8,0.001,0,0.817494784771391,-0.0138873192134015,-0.903066334147845,0.0158065726616855,0.000817282208471086,0.00638210655856853,"rep"
"1516",3e+05,0.8,0.001,0,0.70609680066736,-0.000959867790620835,-0.859883254601878,0.00972223904088742,6.34548156291495e-05,0.0116946635656185,"rep"
"1616",30000,0.3,0.01,1,0.99979674796748,-0.0226469093855126,-0.929427582122638,0.000642739361822854,0.00183121189102568,0.00691697997507623,"rep"
"1716",3e+05,0.3,0.01,1,0.98073185108331,-0.00196696031482722,-0.923444211593945,0.00288682045582504,0.000103258315390397,0.00876605825936145,"rep"
"1816",30000,0.8,0.01,1,0.918688673859079,-0.0161739840584285,-0.915450354102615,0.00697225630607074,0.00133842298636334,0.0105232972927867,"rep"
"1916",3e+05,0.8,0.01,1,0.587679561223579,-0.000352559848004754,-0.770707467168154,0.0116186831512593,1.64426302385076e-05,0.0102967024927075,"rep"
"2016",30000,0.3,0.001,1,0.998062515271132,-0.0222167271623813,-0.927398392240319,0.00182212849392441,0.000676285284936332,0.00964696941909548,"rep"
"2116",3e+05,0.3,0.001,1,0.869967158318159,-0.00162044923691868,-0.915503227075453,0.00579747211917553,6.66290842125499e-05,0.00777955431594556,"rep"
"2216",30000,0.8,0.001,1,0.813114135006425,-0.0139014675967237,-0.904805745410854,0.0118754227697182,0.00094266576145578,0.00837628434316983,"rep"
"2316",3e+05,0.8,0.001,1,0.715057558935069,-0.000967118824162181,-0.870367037206361,0.0148905790155466,4.33598865020011e-05,0.00835802522790014,"rep"
